payload,vpa,known_psp_suffix,entropy,digit_ratio,local_part_len,has_amount,amount,has_suspicious_keyword,label
upi://pay?pa=paytrn424@idfcbank&pn=Cashback%20Desk&cu=INR&tn=kyc,paytrn424@idfcbank,1,2.948,0.333,9,0,0.0,1,1
upi://pay?pa=8153426357@oksbi&pn=Green%20Grocers&cu=INR,8153426357@oksbi,1,2.922,1.0,10,0,0.0,0,0
upi://pay?pa=priya123@hdfcbank&pn=Om%20Traders&cu=INR&am=3164.14,priya123@hdfcbank,1,3.0,0.375,8,1,3164.14,0,0
upi://pay?pa=vendor.shop@kotak&pn=Green%20Grocers&cu=INR,vendor.shop@kotak,1,3.278,0.0,11,0,0.0,0,0
upi://pay?pa=priya123@okicici&pn=Sharma%20Kirana%20Store&cu=INR&am=3740.21,priya123@okicici,1,3.0,0.375,8,1,3740.21,0,0
upi://pay?pa=refund73@secure-pay&pn=Verify%20Account&cu=INR&tn=blocked,refund73@secure-pay,0,3.0,0.25,8,0,0.0,1,1
upi://pay?pa=995082974@ibl&pn=Cashback%20Desk&cu=INR&am=2.92,995082974@ibl,1,2.642,1.0,9,1,2.92,0,1
upi://pay?pa=merchant.1453@oksbi&pn=Rahul%20Sharma&cu=INR,merchant.1453@oksbi,1,3.7,0.308,13,0,0.0,0,0
upi://pay?pa=kyc-team62@secure-pay&pn=Refund%20Team&cu=INR&tn=blocked,kyc-team62@secure-pay,0,3.322,0.2,10,0,0.0,1,1
upi://pay?pa=goog1e-pay73@okaxis&pn=Verify%20Account&cu=INR&am=2.08,goog1e-pay73@okaxis,1,3.252,0.25,12,1,2.08,0,1
upi://pay?pa=goog1e-pay757@idfcbank&pn=KYC%20Support&cu=INR&am=1.93&tn=refund,goog1e-pay757@idfcbank,1,3.239,0.308,13,1,1.93,1,1
upi://pay?pa=goog1e-pay15@ybl&pn=Prize%20Center&cu=INR&tn=blocked,goog1e-pay15@ybl,1,3.085,0.25,12,0,0.0,1,1
upi://pay?pa=s7gfm9nrauz@hdfcbank&pn=Refund%20Team&cu=INR&am=4.51&tn=refund,s7gfm9nrauz@hdfcbank,1,3.459,0.182,11,1,4.51,1,1
upi://pay?pa=phcnpe643@jio&pn=Verify%20Account&cu=INR&am=2.84&tn=kyc,phcnpe643@jio,1,2.948,0.333,9,1,2.84,1,1
upi://pay?pa=cashback98@kyc-update&pn=Verify%20Account&cu=INR&tn=suspend,cashback98@kyc-update,0,2.922,0.2,10,0,0.0,1,1
upi://pay?pa=1433190136@oksbi&pn=Cashback%20Desk&cu=INR&tn=kyc,1433190136@oksbi,1,2.371,1.0,10,0,0.0,1,1
upi://pay?pa=merchant.1236@ibl&pn=City%20Cafe&cu=INR&am=958.64,merchant.1236@ibl,1,3.7,0.308,13,1,958.64,0,0
upi://pay?pa=paytrn960@kotak&pn=Cashback%20Desk&cu=INR&am=2.0,paytrn960@kotak,1,3.17,0.333,9,1,2.0,0,1
upi://pay?pa=cashback70@kyc-update&pn=Prize%20Center&cu=INR&am=2.77&tn=suspend,cashback70@kyc-update,0,2.922,0.2,10,1,2.77,1,1
upi://pay?pa=9436464141@okicici&pn=KYC%20Support&cu=INR&tn=kyc,9436464141@okicici,1,2.122,1.0,10,0,0.0,1,1
upi://pay?pa=phcnpe445@upi&pn=Cashback%20Desk&cu=INR&am=4.65&tn=refund,phcnpe445@upi,1,2.725,0.333,9,1,4.65,1,1
upi://pay?pa=6954116189@okaxis&pn=Prize%20Center&cu=INR&tn=blocked,6954116189@okaxis,1,2.446,1.0,10,0,0.0,1,1
upi://pay?pa=6401592835@jio&pn=Auto%20Rickshaw%20Stand&cu=INR&am=2340.07,6401592835@jio,1,3.122,1.0,10,1,2340.07,0,0
upi://pay?pa=merchant.6970@jio&pn=City%20Cafe&cu=INR,merchant.6970@jio,1,3.7,0.308,13,0,0.0,0,0
upi://pay?pa=merchant.2170@okhdfcbank&pn=City%20Cafe&cu=INR&am=1906.43,merchant.2170@okhdfcbank,1,3.7,0.308,13,1,1906.43,0,0
upi://pay?pa=merchant.8747@idfcbank&pn=Om%20Traders&cu=INR,merchant.8747@idfcbank,1,3.547,0.308,13,0,0.0,0,0
upi://pay?pa=goog1e-pay751@ibl&pn=Prize%20Center&cu=INR&tn=refund,goog1e-pay751@ibl,1,3.239,0.308,13,0,0.0,1,1
upi://pay?pa=8031234664@okhdfcbank&pn=KYC%20Support&cu=INR&tn=urgent,8031234664@okhdfcbank,1,2.722,1.0,10,0,0.0,1,1
upi://pay?pa=priya123@okicici&pn=Rahul%20Sharma&cu=INR&am=2431.31,priya123@okicici,1,3.0,0.375,8,1,2431.31,0,0
upi://pay?pa=sunita.devi@oksbi&pn=Sharma%20Kirana%20Store&cu=INR,sunita.devi@oksbi,1,3.278,0.0,11,0,0.0,0,0
upi://pay?pa=3662372648@idfcbank&pn=Refund%20Team&cu=INR&am=1.69&tn=lottery,3662372648@idfcbank,1,2.446,1.0,10,1,1.69,1,1
upi://pay?pa=merchant.9925@okhdfcbank&pn=Auto%20Rickshaw%20Stand&cu=INR,merchant.9925@okhdfcbank,1,3.547,0.308,13,0,0.0,0,0
upi://pay?pa=merchant.2632@jio&pn=Auto%20Rickshaw%20Stand&cu=INR,merchant.2632@jio,1,3.547,0.308,13,0,0.0,0,0
upi://pay?pa=merchant.5412@axl&pn=Sharma%20Kirana%20Store&cu=INR&am=4879.75,merchant.5412@axl,1,3.7,0.308,13,1,4879.75,0,0
upi://pay?pa=merchant.4167@kotak&pn=Auto%20Rickshaw%20Stand&cu=INR&am=3312.68,merchant.4167@kotak,1,3.7,0.308,13,1,3312.68,0,0
upi://pay?pa=2488842672@hdfcbank&pn=Prize%20Center&cu=INR&am=3.3&tn=reward,2488842672@hdfcbank,1,2.171,1.0,10,1,3.3,1,1
upi://pay?pa=6733414745@axl&pn=KYC%20Support&cu=INR&am=1.88&tn=blocked,6733414745@axl,1,2.446,1.0,10,1,1.88,1,1
upi://pay?pa=support52@secure-pay&pn=Prize%20Center&cu=INR&tn=suspend,support52@secure-pay,0,2.948,0.222,9,0,0.0,1,1
upi://pay?pa=9444113865@axl&pn=Sharma%20Kirana%20Store&cu=INR,9444113865@axl,1,2.646,1.0,10,0,0.0,0,0
upi://pay?pa=amit.kumar@apl&pn=Auto%20Rickshaw%20Stand&cu=INR,amit.kumar@apl,1,2.922,0.0,10,0,0.0,0,0
upi://pay?pa=cashback9@pay-verify&pn=Verify%20Account&cu=INR&tn=winner,cashback9@pay-verify,0,2.725,0.111,9,0,0.0,1,1
upi://pay?pa=06u00dmdlm9n@upi&pn=Prize%20Center&cu=INR&am=2.02&tn=winner,06u00dmdlm9n@upi,1,2.855,0.417,12,1,2.02,1,1
upi://pay?pa=1249873330@ybl&pn=Verify%20Account&cu=INR&am=2.12&tn=kyc,1249873330@ybl,1,2.846,1.0,10,1,2.12,1,1
upi://pay?pa=9255452233@okaxis&pn=Refund%20Team&cu=INR&tn=urgent,9255452233@okaxis,1,2.171,1.0,10,0,0.0,1,1
upi://pay?pa=phcnpe378@oksbi&pn=KYC%20Support&cu=INR&tn=winner,phcnpe378@oksbi,1,2.948,0.333,9,0,0.0,1,1
upi://pay?pa=phcnpe280@hdfcbank&pn=Cashback%20Desk&cu=INR&tn=suspend,phcnpe280@hdfcbank,1,2.948,0.333,9,0,0.0,1,1
upi://pay?pa=refund80@secure-pay&pn=Prize%20Center&cu=INR&am=3.67&tn=cashback,refund80@secure-pay,0,3.0,0.25,8,1,3.67,1,1
upi://pay?pa=cs1uyszded8wge3@idfcbank&pn=Verify%20Account&cu=INR,cs1uyszded8wge3@idfcbank,1,3.507,0.2,15,0,0.0,0,1
upi://pay?pa=7963790638@apl&pn=City%20Cafe&cu=INR,7963790638@apl,1,2.522,1.0,10,0,0.0,0,0
upi://pay?pa=amit.kumar@kotak&pn=Rahul%20Sharma&cu=INR,amit.kumar@kotak,1,2.922,0.0,10,0,0.0,0,0
upi://pay?pa=priya123@okicici&pn=Priya%20Singh&cu=INR,priya123@okicici,1,3.0,0.375,8,0,0.0,0,0
upi://pay?pa=merchant.294@kotak&pn=Om%20Traders&cu=INR,merchant.294@kotak,1,3.585,0.25,12,0,0.0,0,0
upi://pay?pa=sunita.devi@apl&pn=Rahul%20Sharma&cu=INR,sunita.devi@apl,1,3.278,0.0,11,0,0.0,0,0
upi://pay?pa=sunita.devi@upi&pn=Auto%20Rickshaw%20Stand&cu=INR,sunita.devi@upi,1,3.278,0.0,11,0,0.0,0,0
upi://pay?pa=rahul.sharma@oksbi&pn=Sharma%20Kirana%20Store&cu=INR&am=4262.95,rahul.sharma@oksbi,1,2.855,0.0,12,1,4262.95,0,0
upi://pay?pa=8456709521@jio&pn=Sharma%20Kirana%20Store&cu=INR,8456709521@jio,1,3.122,1.0,10,0,0.0,0,0
upi://pay?pa=5152446403@kotak&pn=Prize%20Center&cu=INR&tn=refund,5152446403@kotak,1,2.646,1.0,10,0,0.0,1,1
upi://pay?pa=rahul.sharma@paytm&pn=Auto%20Rickshaw%20Stand&cu=INR&am=2815.04,rahul.sharma@paytm,1,2.855,0.0,12,1,2815.04,0,0
upi://pay?pa=phcnpe281@apl&pn=Refund%20Team&cu=INR&tn=lottery,phcnpe281@apl,1,2.948,0.333,9,0,0.0,1,1
upi://pay?pa=amit.kumar@paytm&pn=Green%20Grocers&cu=INR,amit.kumar@paytm,1,2.922,0.0,10,0,0.0,0,0
upi://pay?pa=9978909625@jio&pn=Refund%20Team&cu=INR&tn=blocked,9978909625@jio,1,2.522,1.0,10,0,0.0,1,1
upi://pay?pa=merchant.3133@upi&pn=Om%20Traders&cu=INR,merchant.3133@upi,1,3.335,0.308,13,0,0.0,0,0
upi://pay?pa=support33@xn--upi&pn=Verify%20Account&cu=INR&tn=suspend,support33@xn--upi,0,2.725,0.222,9,0,0.0,1,1
upi://pay?pa=refund64@refund-upi&pn=KYC%20Support&cu=INR&tn=verify-now,refund64@refund-upi,0,3.0,0.25,8,0,0.0,1,1
upi://pay?pa=phcnpe514@kotak&pn=Refund%20Team&cu=INR&tn=winner,phcnpe514@kotak,1,2.948,0.333,9,0,0.0,1,1
upi://pay?pa=phcnpe198@axl&pn=Refund%20Team&cu=INR&am=2.38&tn=verify-now,phcnpe198@axl,1,2.948,0.333,9,1,2.38,1,1
upi://pay?pa=sunita.devi@ibl&pn=Om%20Traders&cu=INR&am=2833.71,sunita.devi@ibl,1,3.278,0.0,11,1,2833.71,0,0
upi://pay?pa=bjm2gk9jyfdmow@okicici&pn=Verify%20Account&cu=INR&am=1.85&tn=winner,bjm2gk9jyfdmow@okicici,1,3.522,0.143,14,1,1.85,1,1
upi://pay?pa=v46mu62oedr9r@ybl&pn=Prize%20Center&cu=INR&am=2.45&tn=winner,v46mu62oedr9r@ybl,1,3.393,0.385,13,1,2.45,1,1
upi://pay?pa=cashback85@secure-pay&pn=KYC%20Support&cu=INR&am=1.19&tn=blocked,cashback85@secure-pay,0,2.922,0.2,10,1,1.19,1,1
upi://pay?pa=rahul.sharma@idfcbank&pn=Rahul%20Sharma&cu=INR,rahul.sharma@idfcbank,1,2.855,0.0,12,0,0.0,0,0
upi://pay?pa=od4p4e6fe81@oksbi&pn=Verify%20Account&cu=INR&am=3.62&tn=lottery,od4p4e6fe81@oksbi,1,3.096,0.455,11,1,3.62,1,1
upi://pay?pa=goog1e-pay631@upi&pn=KYC%20Support&cu=INR&am=1.94&tn=winner,goog1e-pay631@upi,1,3.239,0.308,13,1,1.94,1,1
upi://pay?pa=6242447651@ibl&pn=Rahul%20Sharma&cu=INR,6242447651@ibl,1,2.446,1.0,10,0,0.0,0,0
upi://pay?pa=merchant.8286@ybl&pn=Green%20Grocers&cu=INR,merchant.8286@ybl,1,3.547,0.308,13,0,0.0,0,0
upi://pay?pa=phcnpe38@ybl&pn=Verify%20Account&cu=INR&tn=verify-now,phcnpe38@ybl,1,2.75,0.25,8,0,0.0,1,1
upi://pay?pa=7892749115@oksbi&pn=Cashback%20Desk&cu=INR&am=2.71&tn=cashback,7892749115@oksbi,1,2.722,1.0,10,1,2.71,1,1
upi://pay?pa=7889470995@apl&pn=Prize%20Center&cu=INR&am=3.99&tn=cashback,7889470995@apl,1,2.446,1.0,10,1,3.99,1,1
upi://pay?pa=cbaots98iz3u81jc@idfcbank&pn=Cashback%20Desk&cu=INR&am=4.35&tn=urgent,cbaots98iz3u81jc@idfcbank,1,3.75,0.312,16,1,4.35,1,1
upi://pay?pa=9286377941@okicici&pn=Verify%20Account&cu=INR&am=2.92&tn=refund,9286377941@okicici,1,2.922,1.0,10,1,2.92,1,1
upi://pay?pa=kyc-team30@xn--upi&pn=Verify%20Account&cu=INR,kyc-team30@xn--upi,0,3.322,0.2,10,0,0.0,0,1
upi://pay?pa=9813635764@okhdfcbank&pn=Om%20Traders&cu=INR,9813635764@okhdfcbank,1,2.922,1.0,10,0,0.0,0,0
upi://pay?pa=refund55@kyc-update&pn=Prize%20Center&cu=INR&tn=verify-now,refund55@kyc-update,0,2.75,0.25,8,0,0.0,1,1
upi://pay?pa=7958494300@jio&pn=Om%20Traders&cu=INR,7958494300@jio,1,2.722,1.0,10,0,0.0,0,0
upi://pay?pa=tf7g2qehcbf0v@okaxis&pn=Refund%20Team&cu=INR&am=3.88&tn=lottery,tf7g2qehcbf0v@okaxis,1,3.547,0.231,13,1,3.88,1,1
upi://pay?pa=goog1e-pay662@okaxis&pn=Verify%20Account&cu=INR,goog1e-pay662@okaxis,1,3.239,0.308,13,0,0.0,0,1
upi://pay?pa=merchant.8344@hdfcbank&pn=City%20Cafe&cu=INR&am=1757.19,merchant.8344@hdfcbank,1,3.547,0.308,13,1,1757.19,0,0
upi://pay?pa=merchant.7467@apl&pn=Priya%20Singh&cu=INR,merchant.7467@apl,1,3.547,0.308,13,0,0.0,0,0
upi://pay?pa=paytrn941@axl&pn=Cashback%20Desk&cu=INR&am=4.66,paytrn941@axl,1,3.17,0.333,9,1,4.66,0,1
upi://pay?pa=3732562535@hdfcbank&pn=Prize%20Center&cu=INR&tn=urgent,3732562535@hdfcbank,1,2.171,1.0,10,0,0.0,1,1
upi://pay?pa=9721043139@hdfcbank&pn=City%20Cafe&cu=INR,9721043139@hdfcbank,1,2.722,1.0,10,0,0.0,0,0
upi://pay?pa=5jq4j90vb1@okaxis&pn=Verify%20Account&cu=INR&am=4.34&tn=cashback,5jq4j90vb1@okaxis,1,3.122,0.5,10,1,4.34,1,1
upi://pay?pa=dau8ezkxq8@idfcbank&pn=KYC%20Support&cu=INR&tn=verify-now,dau8ezkxq8@idfcbank,1,3.122,0.2,10,0,0.0,1,1
upi://pay?pa=amit.kumar@ybl&pn=Auto%20Rickshaw%20Stand&cu=INR&am=4258.59,amit.kumar@ybl,1,2.922,0.0,10,1,4258.59,0,0
upi://pay?pa=phcnpe3@oksbi&pn=Verify%20Account&cu=INR&tn=winner,phcnpe3@oksbi,1,2.522,0.143,7,0,0.0,1,1
upi://pay?pa=6179276130@idfcbank&pn=Sharma%20Kirana%20Store&cu=INR&am=197.29,6179276130@idfcbank,1,2.722,1.0,10,1,197.29,0,0
upi://pay?pa=9011561274@upi&pn=Auto%20Rickshaw%20Stand&cu=INR&am=2787.84,9011561274@upi,1,2.846,1.0,10,1,2787.84,0,0
upi://pay?pa=u09ie8jjfupm@upi&pn=Prize%20Center&cu=INR&am=2.25&tn=verify-now,u09ie8jjfupm@upi,1,3.252,0.25,12,1,2.25,1,1
upi://pay?pa=merchant.885@oksbi&pn=City%20Cafe&cu=INR,merchant.885@oksbi,1,3.418,0.25,12,0,0.0,0,0
